input,A,B,C,D,target,task
The rules that govern the placement of words and phrases in a sentence are called,semantics,grammar,syntax,phonemes,C,high_school_psychology
The role of the outer ear is to,transduce sound waves to stimulate the ossicles,conduct sound by exciting the cilia in the inner ear,protect the eardrum while it transduces sound,collect and focus sounds from the air,D,high_school_psychology
"You are given four lists of words to learn: 1, 2, 3, and 4. You must learn list 1, then list 2, etc. Which list(s) would cause proactive interference for remembering list 2?",list 1 only,list 3 only,list 4 only,lists 3 and 4 only,A,high_school_psychology
Grounding a child for two weeks after the child has misbehaved is an example of,avoidant attachment,negative punishment,compliance learning,negative reinforcement,B,high_school_psychology
"After watching cartoons in which characters hit, punch, and kick other characters, nursery school students engage in more aggressive behavior than after watching Barney. This observation best supports",psychoanalytic theory,psychodynamic theory,social learning theory,humanistic theory,C,high_school_psychology
"Today Susan took a pill for her allergy that raised her blood pressure, caused her heart to beat faster, and raised her body temperature. Now caught in traffic, she feels angry. Yesterday, when she took the pill, she was with her husband. When her blood pressure rose, her heart speeded up, she got hotter, and she felt amorous. This description exemplifies",the adaptation-level phenomenon,two-factor theory,James-Lange theory,Cannon-Bard theory,B,high_school_psychology
A severely overweight rat would most likely result from lesioning of the,hippocampus,thalamus,hypothalamus,amygdala,C,high_school_psychology
"The gland sometimes referred to as the ""master gland,"" which regulates much of the action of the other endocrine glands is called the",thyroid gland,pancreas,pituitary gland,adrenal gland,C,high_school_psychology
Which social psychological principle best explains prejudice?,individualism,collectivism,self-serving bias,in-group bias,D,high_school_psychology
"Antonia has a cat. The first time she sees a rabbit, she calls it a cat. Her mistake is due to the process of",discrimination.,generalization.,accommodation.,assimilation.,D,high_school_psychology
"According to Sigmund Freud, what is the dominant factor determining our personality traits?",secondary drives and needs,genetic and nutritional factors,unconscious conflicts,parenting styles,C,high_school_psychology
A recent comparison of the intelligence scores of Asian Americans and African Americans on the Stanford-Binet showed that,I only,II only,III only,"I, II, and III",D,high_school_psychology
Which of the following was an important technique used by Abraham Maslow and the humanistic psychologists during therapy?,defense mechanisms,factor analysis,unconditional positive regard,somatotype theory,C,high_school_psychology
The myelin sheath that covers the axons of most neurons serves to do which of the following?,Increase the number of messages a dendrite can receive,Increase the speed with which messages can be transmitted,Maintain the amount of neurotransmitter needed to create an action potential,Decrease the amount of information a dendrite can convey in one firing,B,high_school_psychology
Which of the following best states a conclusion of Stanley Milgram's study of obedience?,"When faced with a difficult decision, people are more likely to follow the opinions of the crowd than to diverge from those opinions.","When challenged to commit a crime, people will most often refuse if they are not coerced, but will agree if an authority figure coerces them.","When asked to inflict pain on others, people are likely to inflict mild amounts of pain without remorse.","When an authority figure is present, people are more likely to obey orders than to question the wisdom of the orders.",D,high_school_psychology
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,high_school_psychology
Information from the optic nerve is initially processed in what part of the brain?,occipital lobe,hypothalamus,thalamus,hippocampus,C,high_school_psychology
"According to Kohlberg, in order to reason at the postconventional level, people must",be generous.,believe in God.,be able to take another person's perspective.,have had a successful resolution of the integrity versus despair stage.,C,high_school_psychology
Which of the following is true regarding lifelong learning and ongoing professional development of school psychologists?,A formal professional development plan should be made and updated annually.,Textbooks from graduate school should be reread annually.,A degree in another field should be pursued.,"A graduate education program should offer adequate preparation for professional practice, so no further training will be needed.",A,high_school_psychology
Which of the following would be most useful in understanding a neighbor's interpretation of a certain family's recent crisis as being due to extreme financial distress?,Reinforcement theory,Classical behaviorism,Attribution theory,Hierarchy of needs,C,high_school_psychology
"Ryan suffers from nearly constant, low-level arousal of his autonomic nervous system. Ryan is most likely to be classified as suffering from",GAD.,major depressive disorder.,hypochondriasis.,obsessive-compulsive personality disorder.,A,high_school_psychology
What makes the psychoanalytic perspective different from the other psychological perspectives?,Psychoanalysts focus on the unconscious mind.,Psychoanalysis relies on the scientific method.,"The process of psychoanalysis takes a long time and is focused on individuals, not groups.",The research psychoanalysis is based on primarily involves people with psychological disorders.,A,high_school_psychology
"Every time you buy ice cream from the Yellow Brick Road ice cream parlor, you get your over-the-rainbow card stamped. Once you purchase ten items, you get your next item free. The Yellow Brick Road ice cream parlor has you on which of the following reinforcement schedules?",Variable-ratio,Variable-interval,Fixed-ratio,Fixed-interval,C,high_school_psychology
Which of the following is LEAST likely to contribute to prejudice?,stereotyping,scapegoating,out-group homogeneity,superordinate goals,D,high_school_psychology
Stephen is going through his second divorce. He thinks that no woman will ever love him again. His therapist points out to Stephen that his thinking is irrational and faulty. Which of the following therapies is the therapist employing?,psychoanalysis,systematic desensitization,flooding,rational emotive,D,high_school_psychology
"In the ""cocktail party phenomenon,"" an individual can focus on one conversation and filter out all the surrounding stimuli. This is an example of",sensory adaptation,selective attention,just noticeable difference,continuity,B,high_school_psychology
"Because Jake, the team's starting, star center, is late to basketball practice, Coach Peterson sits him out for the first quarter of the next game. Jake is on time for the rest of the season. Coach Peterson has used",positive punishment.,negative reinforcement.,modeling.,omission training.,D,high_school_psychology
"Mr. Maji gives a test to his class of 25 students. All but three students score between 82 and 94. The other three students score 47, 55, and 62. These scores are potential",modes.,skewers.,outliers.,variances.,C,high_school_psychology
Which of the following models of personality is the least deterministic?,humanistic,biological,evolutionary,behaviorist,A,high_school_psychology
"The study of cognitive, behavioral, and social changes across the life span are most directly studied by which of the following?",Psychometricians,Occupational psychologists,Developmental psychologists,Social psychologists,C,high_school_psychology
Approximately what percentage of participants in Milgram's obedience experiments thought they delivered the maximum amount of shock possible?,0,20,40,60,D,high_school_psychology
The president of a company brought in an outside consultant to disagree with him about an important decision to be discussed at a meeting of his top level executives in order to avoid,the bystander effect,groupthink,social loafing,the mere exposure effect,B,high_school_psychology
Iconic memory refers to,visual sensory registries,olfactory sensory registries,frontal sensory registries,STM sensory registries,A,high_school_psychology
Which of the following is an example of an implicit memory?,describing the taste of the cake at your last birthday party,remembering how to tie a tie,recalling the name of your junior high school shop teacher,recognizing a celebrity,B,high_school_psychology
What kind of personality theorist would be most interested in the results of the MMPI?,psychoanalytic,humanistic,behaviorist,trait,D,high_school_psychology
Which neurotransmitter is most closely associated with both Parkinson's disease and schizophrenia?,acetylcholine,dopamine,serotonin,endorphins,B,high_school_psychology
Which of the following is generally considered a disadvantage of longitudinal developmental research?,I only,II only,III only,I and II only,D,high_school_psychology
All of the following are positive symptoms of schizophrenia EXCEPT,auditory hallucinations,visual hallucinations,paranoid delusions,flat affect,D,high_school_psychology
"A person suffering from a skin rash finds her pain is temporarily relieved by vigorous scratching. She does not perceive the pain from the rash while she is scratching, but the pain returns soon after she stops scratching. Which concept best explains this temporary pain relief?",opponent-process theory,amplitude and frequency theories,transduction theory,gate-control theory,D,high_school_psychology
Which of the following accurately summarizes a depressed person's view according to Aaron Beck's negative triad theory?,"Depressed individuals cope with the three primary stresses—change, death, and monetary instability—through withdrawal.","Depressed individuals believe that when they are in a group, at least three individuals will view them negatively.","Depressed individuals hold a negative view of themselves, the world, and their futures.","Depressed individuals view the world in three stages—separation anxiety, development of an external locus of control, and failure to achieve.",C,high_school_psychology
Use of brainstorming to solve a problem best encourages which of the following?,divergent thinking,convergent thinking,deductive reasoning,groupthink,A,high_school_psychology
Which of the following is not considered a primary facial expression?,surprise,disgust,anger,love,A,high_school_psychology
"When a child is enrolled in elementary school, the parents are frequently involved in the child's education as partners, collaborators, and problem solvers. During middle and high school, the parents are more typically described as",partners,collaborators,supporters,audience,D,high_school_psychology
"Carlotta is a well-adjusted, socially competent adolescent. Which of the following most likely represents her family's parenting style?",Minimal supervision,Permissive,Authoritarian,Authoritative,D,high_school_psychology
Which technique controls for both experimenter and subject bias?,demand characteristics,double blind study,single blind study,Hawthorne effect,B,high_school_psychology
The field of psychology arose out of which of the following?,Biochemistry,Physics,Philosophy,Cross-cultural anthropology,C,high_school_psychology
For which of the following would drive-reduction theories not provide a reasonable explanation?,"In the middle of his five-mile race, Jerome grabs water from the water station to quench his thirst.",Ernest gobbles a few cookies on his way to class because he did not have time for lunch.,Tish decides to skip lunch because she is still full from eating a very large breakfast.,Kezia is very full after eating dinner but decides to order the strawberry cheesecake anyway.,D,high_school_psychology
A clinical psychologist who is working with an aggressive child seeks to understand the child's behavior in light of the dynamics of the entire family. Which of the following best identifies the approach the psychologist has chosen?,Cognitive social approach,Behavioral approach,Psychoanalytic approach,Systems approach,D,high_school_psychology
What type of psychologist would assert that a key motivation for people is the desire to spread their genetic material?,cognitive,evolutionary,humanistic,psychodynamic,B,high_school_psychology
What is the major difference between classical and operant conditioning?,Operant conditioning was established well before classical conditioning.,"Classical conditioning involves pairing stimuli, and operant conditioning involves pairing a response with a stimulus.","Operant conditioning is used to train organisms to perform specific acts, and classical conditioning is used to get organisms to stop performing specific acts.",Classical conditioning is more difficult to use but more effective than operant conditioning.,B,high_school_psychology
Which of the following terms refers to the body's tendency to maintain a relatively constant state that permits cells to live and function?,Perceptual constancy,Set point,Homeostasis,Kinesthesia,C,high_school_psychology
Which of the following psychologists would most likely agree with the following statement: Behavior is a result of the combination of reinforcers and punishers?,William James,Wilhelm Wundt,B. F. Skinner,Carl Rogers,C,high_school_psychology
"Tony got accepted to the college he wants to attend, is going to the prom with a girl he really admires, and was hired for the summer job he sought. He has high",self-efficacy,self-doubt,self-handicapping,introversion,A,high_school_psychology
An American teenager's prototype of a chair is most likely to include,a desk and/or table.,four legs and a seat.,a feeling of anxiety associated with school.,"an armchair, a chairlift, and a wheelchair.",B,high_school_psychology
Loss of the ability to understand language results from loss of tissue in which of the following lobes?,right frontal,right temporal,right parietal,left temporal,D,high_school_psychology
"A participant in a single-trial free-recall task is presented with a list of words, one at a time, in the following order: house, flower, dog, table, license, water, computer, salad. In accord with the serial position curve, which of the following words is the participant most likely to forget?",House,Computer,Flower,License,D,high_school_psychology
Jyoti notes the behavior of people as they wait in line for tickets to rock concerts. Which of the following research methods is she using?,naturalistic observation,survey,controlled experiment,quasi-experiment,A,high_school_psychology
What kind of therapy involves both behavioral and cognitive interventions?,counterconditioning,symptom substitution,primary preventions,systematic desensitization,D,high_school_psychology
"After taking AP Psychology and doing well in the class and on the exam, Donald goes to college. If Donald is interested in psychology and has high achievement motivation, as a first-year student, he is most likely to",take an introductory psychology class in which he knows that he will excel.,enroll in an upper-level graduate seminar in which he will be exposed to a lot of new information but is likely to struggle to pass.,avoid psychology classes since he has already mastered the material.,sign up for an upper-level undergraduate course in which he will have to work hard to succeed and will learn new things.,D,high_school_psychology
"A pencil and paper personality test that places a person in one of several personality categories (such as extrovert/introvert, etc.) is based on which personality theory?",psychodynamic,trait,biological,behaviorist,B,high_school_psychology
Research has shown a possible connection between the neurotransmitter acetylcholine and which of the following mental disorders?,Parkinson's disease,Alzheimer's disease,Schizophrenia,Mania,B,high_school_psychology
The tendency of young children learning language to overuse the rules of syntax is referred to as,overconfidence,confirmation bias,overgeneralization,overjustification,C,high_school_psychology
"Tired after a long, hard day at school, Cyrus decides to take a nap. An hour later, his Dad wakes him to let him know it's time for dinner. Cyrus feels worse than when he went to bed and can hardly drag himself to the table. An EEG of Cyrus right before he was awoken would most likely have shown a preponderance of",alpha waves.,beta waves.,delta waves.,sleep spindles.,C,high_school_psychology
The smallest unit of language that carries meaning is a,concept,word,phoneme,morpheme,D,high_school_psychology
The most common somatic nervous system neurotransmitter to cause muscle contractions is,acetylcholine,dopamine,endorphins,epinephrine,A,high_school_psychology
An action potential involves the movement of,glucose into the axon,fats out of the axon terminal,molecules in the synaptic gap,sodium ions into the axon,D,high_school_psychology
"After dealing kindly with several customers who acted very rudely toward her, the clerk was impatient with her next customer. The tendency of that customer to think that the clerk is a very impatient person rather than just having a bad day exemplifies",stereotyping,the fundamental attribution error,the mere exposure effect,the reciprocity norm,B,high_school_psychology
The Intelligence Quotient is defined as the,chronological age/mental age × 100,performance score/verbal score × 100,mental age/chronological age × 100,verbal score/performance score × 100,C,high_school_psychology
The examination of the connection between mental states and physical states is referred to as,tabula rasa,the mind-body problem,nature vs. nurture,parallel processing,B,high_school_psychology
"After she used address stickers sent by a charity in the mail, Brittany felt obligated to mail a donation to the organization that sent the stickers. Brittany's behavior illustrates",stereotyping,the fundamental attribution error,the mere exposure effect,the reciprocity norm,D,high_school_psychology
Which of the following transduces visual images?,The cornea,The pupils,The cochlea,The retina,D,high_school_psychology
Someone with brain damage who has difficulty making the muscle movements needed to produce accurate speech might have damage to which area of the brain?,Wernicke's area,hippocampus,Broca's area,amygdala,C,high_school_psychology
"After discovering that she was in the early stages of an eating disorder, Maria's parents insisted Maria see a therapist. Although Maria attended the therapy sessions, she was late, uncooperative, and even hostile. After some time, her counselor began to explore Maria's feelings of hostility and found that they actually were feelings she held for her parents. Maria's uncooperativeness and hostility toward her counselor is an example of",suppression,conflicting motives,transference,countertransference,C,high_school_psychology
A behavior that is elicited automatically by an environmental stimulus is called a(n),conditioned response,condition,aversive stimulus,reflex,D,high_school_psychology
Which of the following is the most accurate definition of learning?,The result of a variety of experiences that temporarily shape behavior,An enduring change in an organism's behavior based on experience,The sole result of classical and operant conditioning,The association of experiences due to their occurrence in close proximity,B,high_school_psychology
Harlow's monkey experiment illustrated,the importance of physical contact to development.,that language is a uniquely human skill.,that primates can make and use tools.,the danger of separating babies from their natural parents.,A,high_school_psychology
Which of the following disorders is the result of an abnormality of the twenty-first chromosomal pair?,Bipolar disorder,Huntington's Chorea,Down syndrome,Obsessive-compulsive disorder,C,high_school_psychology
Which of the following correctly categorizes the components of Ivan Pavlov's research on conditioning?,"The dogs (subjects) were presented with food (CS) while also being presented with the sights and sounds of the presenter (UCS). After a time, the dogs salivated in response to the presenter (UCR).","The dogs (subjects) were presented with food (UCR) while also being presented with the sights and sounds of the presenter (CR). After a time, the dogs salivated in response to the presenter (CS).","The dogs (subjects) were presented with food (UCS) while also being presented with the sights and sounds of the presenter (CS). After a time, the dogs salivated in response to the presenter (CR).","The dogs (subjects) were presented with food (CR) while also being presented with the sights and sounds of the presenter (UCR). After a time, the dogs salivated in response to the presenter (UCS).",C,high_school_psychology
Which of the following would a researcher need to use to determine if the difference between the mean scores of experimental and control groups was significant?,descriptive statistics,inferential statistics,field experiment,standard deviation,B,high_school_psychology
All of the following are conditions sanctioned by the APA regarding the use of deception in a study EXCEPT,the research is of great importance and cannot be conducted without the use of deception,participants are expected to find the procedures reasonable upon being informed of them,participants must be allowed to withdraw from the experiment at any time,the research must be conducted as a double-blind study,D,high_school_psychology
"When the class listened to a list of words, half the group was directed to listen for sounds while the other half was asked to gauge the emotional impact of the words. The group that gauged the emotional impact remembered many more words. This is evidence that better retention results with attention to",semantic features,echoic features,shallow processing,surface processing,A,high_school_psychology
Dr. Bonneau helped a company redesign its offices to raise morale and the productivity of the employees. With which of the following subfields of psychology is Dr. Bonneau most likely affiliated?,counseling,educational,industrial/organizational,developmental,C,high_school_psychology
Some groups of gang members wear head coverings and sunglasses when they assault people. The use of such disguises contributes to,social loafing,cognitive dissonance,learned helplessness,deindividuation,D,high_school_psychology
Which of the following is not a basic somatosensation?,pain,touch,cold,itch,D,high_school_psychology
Lev Vygotsky's approach to the study of cognitive development was,psychodynamic,behavioral,biological,sociocultural,D,high_school_psychology
"Before Justin could take an airplane flight, he needed to overcome his fear of flying. His therapist taught him relaxation exercises, which he practiced while first looking at pictures of airplanes, then seeing them take off at the airport, then going into an empty plane that would not take off, then finally taking a short flight. Which of the following treatments did he undergo?",psychoanalysis,behavior therapy,humanistic therapy,existential therapy,D,high_school_psychology
Sigmund Freud was the founder of which of the following perspectives in psychology?,Biological,Behavioral,Cognitive,Psychoanalytic,D,high_school_psychology
Which of the following structures is located at the most central and protected part of the brain?,somato-sensory cortex,cerebellum,cerebral cortex,medulla,D,high_school_psychology
A common criticism of labeling students as disabled is that individuals tend to perform in accordance with characteristics associated with a label. This performing phenomenon is known by which of the following names?,The self-fulfilling prophecy,The law of effect,The primacy effect,Social loafing,A,high_school_psychology
"Scott tried to unscramble the letters NEBOTYA for 20 minutes to spell a word, but was not successful. While walking to class, the answer suddenly came to him that the word was BAYONET. This exemplifies",classical conditioning,operant conditioning,the law of effect,insight,D,high_school_psychology
"To treat Zoe's anorexia nervosa, her doctors put her on intravenous feeding tubes, tried to change her irrational belief that she was too fat, and discussed how her early family relationships may have contributed to her current problems. This approach would best be classified as",cognitive behavioral.,biological.,psychodynamic.,eclectic.,D,high_school_psychology
"Suppose the characters 0,1, . . . ,8,9,A,B,C,D, E,F are used to represent a hexadecimal (base-16) number. Here A = 10, B = 11, . . . ,F = 15. What is the largest base-10 integer that can be represented with a two-digit hexadecimal number, such as 14 or 3A?",32,225,255,256,C,high_school_computer_science
"A programmer wrote the program below. The program uses a list of numbers called numList. The program is intended to display the sum of the numbers in the list.
 sum ← numList [1]
 FOR EACH value IN numList
 sum ← sum + value
 DISPLAY sum
 In order to test the program, the programmer initializes numList to [0 , 1 , 4 , 5]. The program displays 10, and the programmer concludes that the program works as intended. Which of the following is true?",The conclusion is correct; the program works as intended.,"The conclusion is incorrect; the program does not display the correct value for the test case [0, 1, 4, 5].","The conclusion is incorrect; using the test case [0, 1, 4, 5] is not sufficient to conclude the program is correct.","The conclusion is incorrect; using the test case [0, 1, 4, 5] only confirms that the program works for lists in increasing order.",C,high_school_computer_science
"In Python 3, which of the following function checks in a string that all characters are in uppercase?",isupper(),join(seq),len(string),"ljust(width[, fillchar])",A,high_school_computer_science
"What is the output of the statement ""a"" + ""ab"" in Python 3?",Error,aab,ab,a ab,B,high_school_computer_science
"In python 3, which of the following is floor division?",/,//,%,|,B,high_school_computer_science
Which of the following school policies is most likely to have a positive impact on the digital divide?,A school allows students to bring a graphing calculator from home to complete in-class mathematics assignments.,A school allows students to bring a tablet computer to class every day to participate in graded quizzes.,A school provides a laptop or tablet computer to all students enrolled at the school.,A school recommends that all students purchase a computer with as much processing speed as possible so that projects run faster.,C,high_school_computer_science
"Two lists, list1 and list2, contain the names of books found in two different collections. A librarian wants to create newList, which will contain the names of all books found in either list, in alphabetical order, with duplicate entries removed.

 For example, if 1istl contains
 [""Macbeth"", ""Frankenstein"", ""Jane Eyre""]
 and 1ist2 contains
 [""Frankenstein"", ""Dracula, ""Macbeth"", ""Hamlet""],
 then newList will contain
 [""Dracula"", ""Frankenstein"", ""Hamlet"", ""Jane Eyre"", ""Macbeth""].

 The following procedures are available to create newList.
 Procedure
 Explanation
 Sort (list)
 Sorts list in alphabetical order and returns the resulting list.
 Combine (listl, list2)
 Creates a new list consisting of the entries from
 list1 followed by the entries from list2. The resulting list is returned.
 RemoveDuplicates (list)
 Iterates through list. If any two or more entries have the same value, the duplicate entries are removed so that any entry appears at most once. The resulting list is returned.

 Which of the following code segments will correctly create newList?","newList ← Combine (listl, list2)
 newList ← Sort (newList)
 newList ← RemoveDup1icates (newList)","listl ← Sort (listl)
 list2 ← Sort (list2)
 newList ← Combine (listl, list2)
 newList ← RemoveDuplicates (newList)","listl ← RemoveDuplicates (listl)
 list2 ← RemoveDuplicates (list2)
 newList ← Combine (listl, 1ist2)
 newList ← Sort (newList)","listl ← RemoveDuplicates (listl)
 listl ← Sort (listl)
 list2 ← RemoveDuplicates (list2)
 1ist2 ← Sort (list2)
 newList ← Combine (listl, list2)",A,high_school_computer_science
"In Python 3, which of the following operator in python performs exponential (power) calculation on operands?",**,//,is,not in,A,high_school_computer_science
Which of the following is the hexadecimal representation of the decimal number 231_{10} ?,17_{16},E4_{16},E7_{16},F4_{16},C,high_school_computer_science
Which of the following spreadsheet functions would be most useful for detecting improbably high or low values that have become part of a data set as a result of data entry errors?,A function that averages numeric values in a column or row,A function that counts the values in a column or row,A function that rounds a numeric value,A function that sorts values in a column or row,D,high_school_computer_science
"The color of a pixel can be represented using the RGB (Red, Green, Blue) color model, which stores values for red, green, and blue, each ranging from 0 to 255. How many bits (binary digits) would be needed to represent a color in the RGB model?",8,16,24,32,C,high_school_computer_science
"The algorithm below is used to simulate the results of flipping a coin 4 times. Consider the goal of determining Whether the simulation resulted in an equal number of heads and tails.

   Step l : Initialize the variables heads_counter and f1ip_counter to 0.
   Step 2 : A variable coin_f1ip is randomly assigned a value of either 0 or l.
   If coin_f1ip has the value 0, the coin flip result is heads, so
  heads_counter is incremented by 1.
   Step 3 : Increment the value of f1ip_counter by l.
   Step 4 : Repeat steps 2 and 3 until f1ip_counter equals 4.

 Following execution of the algorithm, which of the following expressions indicates that the simulation resulted in an equal number of heads and tails?",coin_f1ip = 1,flip_counter = 1,flip_counter = 2,heads_counter = 2,D,high_school_computer_science
"The following procedure is intended to return the number of times the value val appears in the list myList. The procedure does not work as intended.
 Line 1: PROCEDURE countNumOccurences(myList, val)
 Line 2: {
 Line 3: FOR EACH item IN myList
 Line 4: {
 Line 5: count 0
 Line 6: IF(item = val)
 Line 7: {
 Line 8: count count + 1
 Line 9: }
 Line 10: }
 Line 11: RETURN(count)
 Line 12:}
 Which of the following changes can be made so that the procedure will work as intended?",Changing line 6 to IF(item = count),Changing line 6 to IF(myList[item] = val),Moving the statement in line 5 so that it appears between lines 2 and 3,Moving the statement in line 11 so that it appears between lines 9 and 10,C,high_school_computer_science
What is the value of this python expression: 4 + 3 % 2?,1,6,4,5,D,high_school_computer_science
"A retailer that sells footwear maintains a single database containing records with the following information about each item for sale in the retailer's store.

   ° Item identification number
   ° Footwear type (sneakers, boots, sandals, etc.)
   ° Selling price (in dollars)
   ° Size
   ° Color
   ° Quantity available

 Using only the database, which of the following can be determined?",Which items listed in the database are not currently in the store,Which colors are more popular among men than women,Which type of footwear is most popular among adults,The total number of shoes sold in a particular month,A,high_school_computer_science
What is the output of 4*1**4 in python?,4,1,256,16,A,high_school_computer_science
"An algorithm for finding the average of N numbers is average = sum / N, where N and sum are both integers. In a program using this algorithm, a programmer forgot to include a test that would check for N equal to zero. If N is zero, when will the error be detected?",At compile time,At edit time,As soon as the value of N is entered,During run time,D,high_school_computer_science
"A digital photo file contains data representing the level of red, green, and blue for each pixel in the photo. The file also contains metadata that describe the date and geographic location where the photo was taken. For which of the following goals would analyzing the metadata be more appropriate than analyzing the data?",Determining the likelihood that the photo is a picture of the sky,Determining the likelihood that the photo was taken at a particular public event,Determining the number of people that appear in the photo,Determining the usability of the photo for projection onto a particular color background,B,high_school_computer_science
Tariffs and quotas,result in lower domestic prices.,sometimes raise and sometimes lower the amount of the product sold domestically.,lower the amount of the product sold domestically.,raise the amount of the product sold domestically.,C,high_school_macroeconomics
If a country has a negative value on its current account then it must,pay that amount to its trading partners.,have a positive value of equal magnitude on its capital account.,depreciate its currency.,appreciate its currency.,B,high_school_macroeconomics
If the economy is operating at full employment which of the following policies will create the most inflation in the short run?,An increase in government spending matched by an equal increase in taxes,An increase in government spending with no change in taxes,A decrease in government spending and a matching increase in taxes,A decrease in taxes with no change in government spending,B,high_school_macroeconomics
Required reserves,can be used by banks to make loans or buy investments.,can be held in a bank's vault or its account at the FED.,must be kept in a bank's vault.,must be used to make loans.,B,high_school_macroeconomics
The Federal Open Market Committee,advises the President of the United States.,is part of the Federal Reserve System.,has seven members.,promotes free trade.,B,high_school_macroeconomics
Theo loses his job at the public swimming pool when the pool closes for the winter. This is an example of,cyclical unemployment.,discouraged worker.,seasonal unemployment.,frictional unemployment.,C,high_school_macroeconomics
When a country has a balance of trade deficit,it must make up the difference by shipping gold to its creditors.,its exports exceed its imports.,its currency will appreciate.,its imports exceed its exports.,D,high_school_macroeconomics
National income measures,household income in the nation.,income earned by the factors of production.,GDP minus depreciation and indirect business taxes.,(B) (C) and (D).,D,high_school_macroeconomics
Assume the reserve requirement is 10 percent. If the FED sells $29 million worth of government securities in an open market operation then the money supply can,increase by $2.9 million.,decrease by $2.9 million.,increase by $290 million.,decrease by $290 million.,D,high_school_macroeconomics
If the short-run aggregate supply curve is horizontal it is because,there exist many unemployed resources so that output can be increased without increasing wages and prices.,any increase in output requires a corresponding increase in wages and prices.,increases in output cause prices to increase but wages adjust much less quickly.,falling interest rates increase the demand for goods and services putting upward pressure on prices.,A,high_school_macroeconomics
Which group of people will suffer the most from a rising price level?,debtors with fixed interest rates,people with fixed money incomes,investors in gems coins and stamps,property owners,B,high_school_macroeconomics
Operating in the intermediate range of the aggregate supply curve an increase in aggregate demand results in an increase in,price level only,real GDP only,neither price level nor real GDP,price level and real GDP,D,high_school_macroeconomics
The tax multiplier increases in magnitude when,the MPS increases.,the spending multiplier falls.,the MPC increases.,government spending increases.,C,high_school_macroeconomics
Which of the following is not included in MI?,Coins.,Paper money.,Travelers' checks.,Credit cards.,D,high_school_macroeconomics
The domestic purchasing power of a currency,varies directly with the cost of living,is inversely related to the savings rate,is inversely related to the price level,varies directly with economic growth,C,high_school_macroeconomics
Which of the following is an example of an expansionary supply shock?,Rapid increasing wages,A greatly depreciated currency,Declining labor productivity,Lower factor prices in major industries,D,high_school_macroeconomics
Which of the following is true of money and financial markets?,As the demand for bonds increases the interest rate increases.,For a given money supply if nominal GDP increases the velocity of money decreases.,When demand for stocks and bonds increases the asset demand for money falls.,A macroeconomic recession increases the demand for loanable funds.,C,high_school_macroeconomics
According to Classical analysis an economy in a recession can return to full employment through,falling wages and prices.,rising wages and prices.,expansionary monetary policy.,increased government spending.,A,high_school_macroeconomics
A use of easy money (expansionary) policy by the Fed could result in which of the following?,an increase in net exports,a decrease in net exports,an increase in the real interest rate,an increase in the nominal interest rate,B,high_school_macroeconomics
According to Keynesian theory,the FED should not conduct monetary policy.,changes in the money supply have significant effects.,fiscal policy is the preferred way of shifting the aggregate demand curve.,the FED should allow the money supply to grow at a constant rate.,C,high_school_macroeconomics
If the economy were experiencing a recessionary gap choose the option below that would be an appropriate fiscal policy to eliminate the gap and the predicted impact of the policy on real GDP and unemployment. FISCAL POLICY     REAL GDP     UNEMPLOYMENT,Increase taxes.     Increase     Decrease,Decrease spending.     Decrease     Increase,Decrease taxes.     Increase     Increase,Decrease taxes.     Increase     Decrease,D,high_school_macroeconomics
Suppose that Tiger Woods buys a golf ball in England for $1 and the marginal propensity to consume in England is 0.75. What is the total increase in England's real GDP resulting from Mr. Woods' purchase?,$1 ,$1.25 ,$1.75 ,$4 ,D,high_school_macroeconomics
If Real GDP = $200 billion and the price index = 200 Nominal GDP is,$4 billion,$400 billion,$200 billion,$2 billion,B,high_school_macroeconomics
U.S. real GDP most likely falls when,tariffs and quotas are removed.,investment in human capital is high.,the money supply is increased.,the value of the dollar relative to foreign currencies is high.,D,high_school_macroeconomics
The population of country X is exactly the same as country Y but country X produces twice as much output as country Y. We can conclude that,the people of country X are smarter than the people of country Y.,the people of country X enjoy a standard of living twice as much as country Y.,the people of country Y enjoy a standard of living twice as much as country X.,the people of country Y work twice as hard as the people of country X.,B,high_school_macroeconomics
Suppose the exchange rates are 0.5 British Pound per dollar; 10 Mexican Pesos per dollar; and 100 Chinese Yuan per dollar. Further suppose that a Big Mac costs 3 dollars in America; 2 pounds in England; 50 pesos in Mexico; and 200 yuan in China. In which country is a Big Mac most expensive?,America ($3).,England ($4).,Mexico ($5).,China ($2).,C,high_school_macroeconomics
Which of the following is the source of the supply of loanable funds?,The stock market,Investors,Net exports,Savers,D,high_school_macroeconomics
Private industry can promote economic growth by,implementing innovative production techniques.,offering products at artificially low prices.,giving a significant amount of profits to charity.,hiring workers who are not really needed.,A,high_school_macroeconomics
Which of the following would be considered contractionary monetary policy?,The purchase of bonds,The sale of bonds,An increase in taxes,An increase in government spending,B,high_school_macroeconomics
